epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,140.263,1.43005,0.78097,1.22076,0.9508,0.88654,0.92372,0.6099,1.46992,0.78738,1.39654,0.0085744,0.0085744,0.0085744
74,142.023,1.41468,0.77483,1.22757,0.96122,0.89455,0.93748,0.65513,1.37727,0.73633,1.35507,0.0085546,0.0085546,0.0085546
75,143.794,1.4274,0.77207,1.23175,0.96205,0.90529,0.93578,0.64311,1.41293,0.75379,1.36073,0.0085348,0.0085348,0.0085348
76,145.559,1.40973,0.7534,1.23794,0.95849,0.90087,0.92891,0.63967,1.41122,0.77525,1.36711,0.008515,0.008515,0.008515
77,147.337,1.42445,0.75888,1.23175,0.9544,0.89371,0.93076,0.63523,1.4265,0.76604,1.37666,0.0084952,0.0084952,0.0084952
78,149.121,1.42457,0.75886,1.22488,0.96848,0.88158,0.93403,0.63975,1.42951,0.74773,1.36527,0.0084754,0.0084754,0.0084754
79,151.031,1.41815,0.74791,1.23272,0.95038,0.88709,0.92748,0.63229,1.44583,0.76323,1.36478,0.0084556,0.0084556,0.0084556
80,152.874,1.45208,0.7584,1.23067,0.95514,0.90253,0.92998,0.63316,1.38902,0.73955,1.35773,0.0084358,0.0084358,0.0084358
81,154.726,1.42247,0.75797,1.22914,0.95101,0.90804,0.93351,0.64412,1.40442,0.7438,1.36086,0.008416,0.008416,0.008416
82,156.529,1.41163,0.75368,1.23245,0.96955,0.90032,0.93736,0.65337,1.39143,0.7222,1.3582,0.0083962,0.0083962,0.0083962
83,158.339,1.39524,0.7403,1.20453,0.96412,0.89867,0.93387,0.64934,1.38107,0.71734,1.3337,0.0083764,0.0083764,0.0083764
84,160.174,1.39142,0.74603,1.22275,0.96769,0.89095,0.93782,0.63813,1.414,0.72529,1.35436,0.0083566,0.0083566,0.0083566
85,161.989,1.40968,0.74232,1.22303,0.96133,0.90837,0.93378,0.62708,1.47674,0.74924,1.38602,0.0083368,0.0083368,0.0083368
86,163.788,1.40191,0.75102,1.22695,0.95616,0.90256,0.93907,0.65545,1.36149,0.70476,1.33251,0.008317,0.008317,0.008317
87,165.572,1.39834,0.73922,1.20648,0.97062,0.90206,0.93774,0.64469,1.40942,0.71743,1.35221,0.0082972,0.0082972,0.0082972
88,167.364,1.39975,0.74128,1.20177,0.96241,0.90363,0.93907,0.64602,1.38507,0.72603,1.33953,0.0082774,0.0082774,0.0082774
89,169.164,1.40105,0.72284,1.21295,0.9674,0.90253,0.93541,0.65165,1.38949,0.70803,1.35115,0.0082576,0.0082576,0.0082576
90,170.951,1.38688,0.72865,1.19291,0.95978,0.88702,0.93495,0.63599,1.46159,0.73443,1.38157,0.0082378,0.0082378,0.0082378
91,172.713,1.39225,0.73113,1.21211,0.95965,0.9105,0.93964,0.64956,1.39216,0.70501,1.34401,0.008218,0.008218,0.008218
92,174.484,1.37919,0.72492,1.20249,0.96805,0.90198,0.9425,0.66582,1.34743,0.70867,1.33013,0.0081982,0.0081982,0.0081982
93,176.249,1.38687,0.72874,1.20314,0.96203,0.89812,0.93912,0.6553,1.38176,0.71217,1.3391,0.0081784,0.0081784,0.0081784
94,178.026,1.36048,0.71319,1.19514,0.96936,0.90696,0.93988,0.65658,1.37839,0.70121,1.33286,0.0081586,0.0081586,0.0081586
95,179.802,1.37873,0.71513,1.19115,0.95827,0.90142,0.92774,0.62687,1.46109,0.72691,1.37967,0.0081388,0.0081388,0.0081388
96,181.585,1.37098,0.71044,1.18909,0.96709,0.90528,0.94221,0.65004,1.4024,0.69603,1.34552,0.008119,0.008119,0.008119
97,183.385,1.3757,0.71526,1.20733,0.9639,0.9053,0.93726,0.64373,1.4057,0.70818,1.33987,0.0080992,0.0080992,0.0080992
98,185.183,1.37319,0.71631,1.19052,0.97551,0.89361,0.93872,0.65258,1.36896,0.69998,1.33789,0.0080794,0.0080794,0.0080794
99,186.976,1.36697,0.71594,1.18499,0.96243,0.9019,0.93285,0.6484,1.3713,0.71176,1.33886,0.0080596,0.0080596,0.0080596
100,188.756,1.38869,0.72153,1.2251,0.96279,0.90639,0.93948,0.65453,1.35461,0.68146,1.32026,0.0080398,0.0080398,0.0080398
101,190.509,1.37392,0.7245,1.18033,0.96092,0.90915,0.94661,0.67474,1.34537,0.66607,1.32062,0.00802,0.00802,0.00802
102,192.272,1.35275,0.70823,1.19405,0.95768,0.90639,0.94018,0.66001,1.35978,0.67556,1.3253,0.0080002,0.0080002,0.0080002
103,194.051,1.35727,0.69959,1.18459,0.95692,0.90864,0.93396,0.65246,1.39273,0.71219,1.34271,0.0079804,0.0079804,0.0079804
