epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3191.97,0.98369,0.54006,0.82524,0.92064,0.88787,0.9457,0.67866,0.98261,0.54602,0.81972,0.0084754,0.0084754,0.0084754
79,3232,1.00765,0.56184,0.83037,0.94457,0.88862,0.95267,0.689,0.94708,0.52512,0.8184,0.0084556,0.0084556,0.0084556
80,3272.48,0.98235,0.54374,0.81979,0.9247,0.88817,0.94646,0.69126,0.948,0.52629,0.81313,0.0084358,0.0084358,0.0084358
81,3313.11,1.02477,0.5549,0.82395,0.9018,0.91085,0.94916,0.68307,0.9767,0.54417,0.81718,0.008416,0.008416,0.008416
82,3353.89,1.00474,0.55838,0.81932,0.93244,0.89379,0.94986,0.67619,0.97659,0.53161,0.81437,0.0083962,0.0083962,0.0083962
83,3395.07,1.00141,0.54466,0.82278,0.92339,0.8873,0.94459,0.6732,0.97774,0.53981,0.8145,0.0083764,0.0083764,0.0083764
84,3435.53,0.99762,0.56628,0.82443,0.93919,0.8963,0.95073,0.69145,0.94565,0.52418,0.81385,0.0083566,0.0083566,0.0083566
85,3476,0.99137,0.55682,0.82231,0.91499,0.9016,0.95291,0.68953,0.96737,0.52298,0.81537,0.0083368,0.0083368,0.0083368
86,3517.27,0.98523,0.54561,0.8192,0.92831,0.89992,0.95709,0.68932,0.96504,0.51607,0.81729,0.008317,0.008317,0.008317
87,3557.4,0.98039,0.54069,0.81983,0.93069,0.87048,0.94985,0.675,0.97782,0.54162,0.81561,0.0082972,0.0082972,0.0082972
88,3597.56,0.9958,0.55831,0.82041,0.94048,0.89046,0.95595,0.69231,0.95402,0.50466,0.81401,0.0082774,0.0082774,0.0082774
89,3639.37,0.96675,0.53938,0.8214,0.94327,0.88105,0.9543,0.69008,0.95572,0.5187,0.81191,0.0082576,0.0082576,0.0082576
90,3679.64,0.96073,0.54136,0.81376,0.90691,0.9095,0.95295,0.69067,0.96235,0.52123,0.81422,0.0082378,0.0082378,0.0082378
91,3720.37,0.9884,0.54441,0.82172,0.93956,0.88814,0.95566,0.68873,0.95903,0.51022,0.81391,0.008218,0.008218,0.008218
92,3762.34,0.99424,0.54769,0.82601,0.91604,0.90664,0.95084,0.68262,0.95505,0.51272,0.81406,0.0081982,0.0081982,0.0081982
93,3803.06,0.97611,0.53258,0.81892,0.92337,0.9019,0.95571,0.70167,0.93571,0.50435,0.81189,0.0081784,0.0081784,0.0081784
94,3844.36,0.97782,0.53691,0.81486,0.93941,0.90328,0.9561,0.69315,0.94573,0.50326,0.81398,0.0081586,0.0081586,0.0081586
95,3884.68,0.96866,0.53949,0.81428,0.92264,0.91285,0.95594,0.69592,0.94359,0.51172,0.81604,0.0081388,0.0081388,0.0081388
96,3926.8,0.97388,0.53155,0.81784,0.93646,0.89403,0.9508,0.68755,0.93583,0.51337,0.81199,0.008119,0.008119,0.008119
97,3966.77,0.96316,0.53043,0.81652,0.94284,0.89151,0.95337,0.69428,0.93409,0.51947,0.81263,0.0080992,0.0080992,0.0080992
98,4007.46,0.97551,0.54502,0.81674,0.91486,0.90376,0.95297,0.69586,0.933,0.51471,0.8113,0.0080794,0.0080794,0.0080794
99,4049.42,0.95783,0.52185,0.81628,0.94688,0.89951,0.95656,0.69496,0.93941,0.51171,0.81468,0.0080596,0.0080596,0.0080596
100,4089.81,0.96379,0.52527,0.8182,0.94107,0.89319,0.95555,0.70847,0.92191,0.49841,0.81195,0.0080398,0.0080398,0.0080398
101,4130.89,0.9641,0.52767,0.81817,0.93152,0.9016,0.95349,0.69334,0.93104,0.50762,0.81278,0.00802,0.00802,0.00802
102,4170.97,0.95788,0.5265,0.81836,0.92996,0.90328,0.95843,0.69887,0.93651,0.50444,0.81098,0.0080002,0.0080002,0.0080002
103,4211.35,0.95941,0.52591,0.81846,0.9492,0.88982,0.95543,0.70093,0.916,0.49838,0.81327,0.0079804,0.0079804,0.0079804
104,4251.85,0.96045,0.52104,0.81465,0.92998,0.90481,0.95648,0.70335,0.92352,0.50631,0.81508,0.0079606,0.0079606,0.0079606
105,4292.79,0.95727,0.51728,0.81855,0.91932,0.90087,0.95664,0.69878,0.9422,0.50606,0.81634,0.0079408,0.0079408,0.0079408
106,4333.95,0.95386,0.52547,0.82052,0.91981,0.91644,0.95843,0.70198,0.9305,0.49662,0.81277,0.007921,0.007921,0.007921
107,4374.38,0.95113,0.53595,0.81453,0.94394,0.89211,0.95568,0.6983,0.93017,0.507,0.81032,0.0079012,0.0079012,0.0079012
108,4415.66,0.95781,0.52872,0.81792,0.93189,0.90906,0.95417,0.70083,0.9237,0.50517,0.81094,0.0078814,0.0078814,0.0078814
109,4455.82,0.95753,0.53973,0.82249,0.9312,0.9016,0.95509,0.70014,0.93268,0.52469,0.81428,0.0078616,0.0078616,0.0078616
110,4496.9,0.95226,0.52505,0.81333,0.94237,0.88982,0.95082,0.69375,0.92991,0.53205,0.81172,0.0078418,0.0078418,0.0078418
111,4537.36,0.95033,0.52589,0.82247,0.93751,0.88562,0.95269,0.70344,0.91821,0.52116,0.81317,0.007822,0.007822,0.007822
112,4577.99,0.95528,0.52803,0.8175,0.93421,0.89739,0.95246,0.69815,0.93915,0.5138,0.80925,0.0078022,0.0078022,0.0078022
113,4619.28,0.93941,0.51138,0.81908,0.92439,0.9049,0.95433,0.70277,0.91853,0.50026,0.81179,0.0077824,0.0077824,0.0077824
114,4659.69,0.93747,0.51285,0.81565,0.92745,0.89739,0.95261,0.70444,0.91275,0.50269,0.80969,0.0077626,0.0077626,0.0077626
115,4700,0.96419,0.52928,0.8166,0.93444,0.89907,0.95605,0.69821,0.92424,0.50185,0.81007,0.0077428,0.0077428,0.0077428
116,4742.15,0.93908,0.50987,0.81782,0.93117,0.89894,0.95587,0.70433,0.91387,0.48841,0.80854,0.007723,0.007723,0.007723
117,4782.61,0.93076,0.50834,0.81048,0.94715,0.88935,0.95809,0.70677,0.91419,0.49688,0.80929,0.0077032,0.0077032,0.0077032
118,4823.29,0.92805,0.51539,0.8141,0.93353,0.89487,0.95501,0.70469,0.91645,0.49662,0.81153,0.0076834,0.0076834,0.0076834
